time,temperature_2m,precipitation_probability,latitude,longitude,timezone
2026-08-03T00:00,25.3,0,37.55,127.0,Asia/Seoul
2026-08-03T01:00,24.9,0,37.55,127.0,Asia/Seoul
2026-08-03T02:00,24.5,0,37.55,127.0,Asia/Seoul
2026-08-03T03:00,24.2,0,37.55,127.0,Asia/Seoul
2026-08-03T04:00,24.0,0,37.55,127.0,Asia/Seoul
2026-08-03T05:00,23.7,0,37.55,127.0,Asia/Seoul
2026-08-03T06:00,23.6,0,37.55,127.0,Asia/Seoul
2026-08-03T07:00,24.2,0,37.55,127.0,Asia/Seoul
2026-08-03T08:00,24.5,0,37.55,127.0,Asia/Seoul
2026-08-03T09:00,25.3,0,37.55,127.0,Asia/Seoul
2026-08-03T10:00,28.1,0,37.55,127.0,Asia/Seoul
2026-08-03T11:00,30.8,0,37.55,127.0,Asia/Seoul
2026-08-03T12:00,32.8,0,37.55,127.0,Asia/Seoul
2026-08-03T13:00,34.0,2,37.55,127.0,Asia/Seoul
2026-08-03T14:00,34.7,4,37.55,127.0,Asia/Seoul
2026-08-03T15:00,35.0,6,37.55,127.0,Asia/Seoul
2026-08-03T16:00,35.0,8,37.55,127.0,Asia/Seoul
2026-08-03T17:00,34.7,10,37.55,127.0,Asia/Seoul
2026-08-03T18:00,33.5,10,37.55,127.0,Asia/Seoul
2026-08-03T19:00,31.8,7,37.55,127.0,Asia/Seoul
2026-08-03T20:00,30.5,3,37.55,127.0,Asia/Seoul
2026-08-03T21:00,29.6,0,37.55,127.0,Asia/Seoul
2026-08-03T22:00,28.9,0,37.55,127.0,Asia/Seoul
2026-08-03T23:00,28.4,0,37.55,127.0,Asia/Seoul
2026-08-04T00:00,27.9,0,37.55,127.0,Asia/Seoul
2026-08-04T01:00,27.7,0,37.55,127.0,Asia/Seoul
2026-08-04T02:00,27.7,0,37.55,127.0,Asia/Seoul
2026-08-04T03:00,27.4,0,37.55,127.0,Asia/Seoul
2026-08-04T04:00,27.0,0,37.55,127.0,Asia/Seoul
2026-08-04T05:00,26.8,0,37.55,127.0,Asia/Seoul
2026-08-04T06:00,26.6,0,37.55,127.0,Asia/Seoul
2026-08-04T07:00,26.9,0,37.55,127.0,Asia/Seoul
2026-08-04T08:00,27.9,0,37.55,127.0,Asia/Seoul
2026-08-04T09:00,29.2,0,37.55,127.0,Asia/Seoul
2026-08-04T10:00,30.5,1,37.55,127.0,Asia/Seoul
2026-08-04T11:00,31.9,2,37.55,127.0,Asia/Seoul
2026-08-04T12:00,33.0,6,37.55,127.0,Asia/Seoul
2026-08-04T13:00,34.0,14,37.55,127.0,Asia/Seoul
2026-08-04T14:00,34.8,24,37.55,127.0,Asia/Seoul
2026-08-04T15:00,35.3,37,37.55,127.0,Asia/Seoul
2026-08-04T16:00,35.4,59,37.55,127.0,Asia/Seoul
2026-08-04T17:00,35.1,83,37.55,127.0,Asia/Seoul
2026-08-04T18:00,34.5,92,37.55,127.0,Asia/Seoul
2026-08-04T19:00,33.4,73,37.55,127.0,Asia/Seoul
2026-08-04T20:00,32.1,38,37.55,127.0,Asia/Seoul
2026-08-04T21:00,31.1,12,37.55,127.0,Asia/Seoul
2026-08-04T22:00,30.2,5,37.55,127.0,Asia/Seoul
2026-08-04T23:00,29.6,6,37.55,127.0,Asia/Seoul
2026-08-05T00:00,29.0,8,37.55,127.0,Asia/Seoul
2026-08-05T01:00,28.4,10,37.55,127.0,Asia/Seoul
2026-08-05T02:00,27.8,14,37.55,127.0,Asia/Seoul
2026-08-05T03:00,27.4,16,37.55,127.0,Asia/Seoul
2026-08-05T04:00,26.4,15,37.55,127.0,Asia/Seoul
2026-08-05T05:00,26.0,13,37.55,127.0,Asia/Seoul
2026-08-05T06:00,25.6,10,37.55,127.0,Asia/Seoul
2026-08-05T07:00,25.9,7,37.55,127.0,Asia/Seoul
2026-08-05T08:00,26.9,3,37.55,127.0,Asia/Seoul
2026-08-05T09:00,28.3,0,37.55,127.0,Asia/Seoul
2026-08-05T10:00,29.9,0,37.55,127.0,Asia/Seoul
2026-08-05T11:00,31.2,1,37.55,127.0,Asia/Seoul
2026-08-05T12:00,32.4,2,37.55,127.0,Asia/Seoul
2026-08-05T13:00,33.2,3,37.55,127.0,Asia/Seoul
2026-08-05T14:00,33.8,5,37.55,127.0,Asia/Seoul
2026-08-05T15:00,34.4,6,37.55,127.0,Asia/Seoul
2026-08-05T16:00,34.8,7,37.55,127.0,Asia/Seoul
2026-08-05T17:00,34.9,7,37.55,127.0,Asia/Seoul
2026-08-05T18:00,34.4,6,37.55,127.0,Asia/Seoul
2026-08-05T19:00,32.8,4,37.55,127.0,Asia/Seoul
2026-08-05T20:00,31.4,2,37.55,127.0,Asia/Seoul
2026-08-05T21:00,30.3,0,37.55,127.0,Asia/Seoul
2026-08-05T22:00,29.1,0,37.55,127.0,Asia/Seoul
2026-08-05T23:00,28.1,1,37.55,127.0,Asia/Seoul
